Date,Open,High,Low,Close,Adj Close,Volume,Return Series
29/08/2017,3580.790039,3620.879883,3498.389893,3577.590088,3577.590088,4118600,-0.000893644
28/08/2017,3437.300049,3619.27002,3397.689941,3580.790039,3580.790039,5495737,0.041744971
27/08/2017,3438.879883,3451.610107,3323.399902,3437.300049,3437.300049,2780101,-0.000459404
26/08/2017,3411.820068,3467.100098,3386.330078,3438.879883,3438.879883,1597654,0.007931196
25/08/2017,3431.310059,3455.860107,3351.800049,3411.820068,3411.820068,2447212,-0.005680044
24/08/2017,3384.26001,3496.850098,3360.360107,3431.310059,3431.310059,2865031,0.013902611
23/08/2017,3250.280029,3404.679932,3232.679932,3384.26001,3384.26001,2682099,0.041221058
22/08/2017,3215.48999,3382.040039,3192.48999,3250.280029,3250.280029,3880631,0.010819514
21/08/2017,3147.939941,3260.949951,2896.709961,3215.48999,3215.48999,4631717,0.021458494
20/08/2017,3182.090088,3233.600098,3103.02002,3147.939941,3147.939941,3924362,-0.010731986
19/08/2017,3275.610107,3296.149902,3174.080078,3182.090088,3182.090088,1992934,-0.028550412
18/08/2017,3213.610107,3279.889893,3099.919922,3275.610107,3275.610107,3206163,0.019292944
17/08/2017,3351.689941,3401.52002,3123.899902,3213.610107,3213.610107,6268174,-0.041197079
16/08/2017,3395.610107,3496.830078,3278.409912,3351.689941,3351.689941,6546499,-0.012934396
15/08/2017,3237.290039,3430.899902,3083.050049,3395.610107,3395.610107,5021699,0.048905123
14/08/2017,3368.590088,3463.610107,2969.5,3237.290039,3237.290039,6974947,-0.038977746
13/08/2017,3136.080078,3370.919922,3080.48999,3368.590088,3368.590088,5695406,0.074140329
12/08/2017,2986.949951,3231.689941,2952.560059,3136.080078,3136.080078,5129679,0.049927227
11/08/2017,2830.639893,3034.300049,2778.929932,2986.949951,2986.949951,4144576,0.05522075
10/08/2017,2653.02002,2868.969971,2637.330078,2830.639893,2830.639893,3905585,0.066950069
09/08/2017,2592.47998,2672.780029,2572.719971,2653.02002,2653.02002,3931273,0.023352173
08/08/2017,2645.699951,2665.899902,2508.72998,2592.47998,2592.47998,3655886,-0.020115649
07/08/2017,2609.610107,2706.100098,2588.330078,2645.699951,2645.699951,5455149,0.013829592
06/08/2017,2497.899902,2632.790039,2469.639893,2609.610107,2609.610107,3865747,0.04472165
05/08/2017,2513.169922,2555.72998,2431.72998,2497.899902,2497.899902,1948475,-0.006076
04/08/2017,2267.070068,2574.639893,2219.02002,2513.169922,2513.169922,3792560,0.108554145
03/08/2017,2146.560059,2274.419922,2127.080078,2267.070068,2267.070068,2614147,0.056140991
02/08/2017,2066.530029,2161.600098,2063.419922,2146.560059,2146.560059,3002972,0.038726768
01/08/2017,2103.560059,2164.080078,2041.400024,2066.530029,2066.530029,3162250,-0.017603505
31/07/2017,2192.870117,2259.120117,2044.530029,2103.560059,2103.560059,3583739,-0.040727473
30/07/2017,2113.889893,2241.290039,2078.469971,2192.870117,2192.870117,4120934,0.037362506
29/07/2017,2092.189941,2176.26001,2015.569946,2113.889893,2113.889893,2061293,0.010371884
28/07/2017,2132.560059,2156.810059,2054.709961,2092.189941,2092.189941,2329949,-0.018930355
27/07/2017,2110.080078,2175.340088,2041.51001,2132.560059,2132.560059,4451302,0.010653615
26/07/2017,1960.550049,2127.449951,1949.670044,2110.080078,2110.080078,3841415,0.076269427
25/07/2017,2024.109985,2065.790039,1892.109985,1960.550049,1960.550049,3497214,-0.031401424
24/07/2017,2125.340088,2193.199951,1942.060059,2024.109985,2024.109985,4637234,-0.047630073
23/07/2017,2148.570068,2182.52002,2098.709961,2125.340088,2125.340088,2819133,-0.010811833
22/07/2017,2208.209961,2240.350098,2087.870117,2148.570068,2148.570068,1802274,-0.027008253
21/07/2017,2077.379883,2231.209961,2057.419922,2208.209961,2208.209961,2134652,0.062978408
20/07/2017,2197.02002,2203.27002,2030.5,2077.379883,2077.379883,3525712,-0.054455643
19/07/2017,1763.339966,2248.620117,1763.199951,2197.02002,2197.02002,6624195,0.245942395
18/07/2017,1789.939941,1869.130005,1729.869995,1763.339966,1763.339966,3819837,-0.01486082
17/07/2017,1721.089966,1861.880005,1665.060059,1789.939941,1789.939941,4248850,0.040003705
16/07/2017,1459.27002,1723.790039,1459.27002,1721.089966,1721.089966,4693738,0.179418437
15/07/2017,1513.630005,1565.859985,1374.72998,1459.27002,1459.27002,2448645,-0.035913654
14/07/2017,1713.699951,1729.22998,1500.790039,1513.630005,1513.630005,2843415,-0.116747361
13/07/2017,1839.47998,1872.939941,1661.050049,1713.699951,1713.699951,3951058,-0.068378036
12/07/2017,1883.280029,1930.469971,1821.300049,1839.47998,1839.47998,2241918,-0.023257321
11/07/2017,1822.780029,1902.869995,1786.349976,1883.280029,1883.280029,2718835,0.033191059
10/07/2017,1824.969971,1885.170044,1769.390015,1822.780029,1822.780029,3230570,-0.001199988
09/07/2017,1964.76001,2016.359985,1776.939941,1824.969971,1824.969971,3098648,-0.071148659
08/07/2017,2010.160034,2041.810059,1959.800049,1964.76001,1964.76001,1182355,-0.022585278
07/07/2017,1962.599976,2021.650024,1941.469971,2010.160034,2010.160034,1746386,0.02423319
06/07/2017,2033.300049,2057.189941,1939.089966,1962.599976,1962.599976,2673547,-0.034771097
05/07/2017,2047.550049,2090.149902,2008.839966,2033.300049,2033.300049,1979669,-0.006959537
04/07/2017,2014.849976,2058.060059,1975.150024,2047.550049,2047.550049,2402657,0.016229532
03/07/2017,2001.790039,2080.570068,1983.329956,2014.849976,2014.849976,6537661,0.006524129
02/07/2017,1972,2040.02002,1941.719971,2001.790039,2001.790039,2718549,0.015106511
01/07/2017,1887.51001,2000.829956,1848.619995,1972,1972,1947897,0.044762671
30/06/2017,1912.290039,1977.23999,1841.829956,1887.51001,1887.51001,2064067,-0.012958301
29/06/2017,1971.599976,2022.23999,1906.849976,1912.290039,1912.290039,2735137,-0.030082135
28/06/2017,1998.72998,2075.419922,1954.25,1971.599976,1971.599976,3798451,-0.013573621
27/06/2017,2021.329956,2036.25,1947.890015,1998.72998,1998.72998,4820386,-0.011180746
26/06/2017,1917.410034,2021.670044,1793.910034,2021.329956,2021.329956,3808563,0.054198069
25/06/2017,1999.959961,2081.169922,1815.550049,1917.410034,1917.410034,5264250,-0.04127579
24/06/2017,2066.590088,2140.01001,1945.72998,1999.959961,1999.959961,1865675,-0.032241579
23/06/2017,2158.320068,2202.100098,2009.410034,2066.590088,2066.590088,2019098,-0.042500638
22/06/2017,2191.879883,2237.27002,2118.01001,2158.320068,2158.320068,2266473,-0.015310974
21/06/2017,2107.699951,2191.879883,2074.219971,2191.879883,2191.879883,4392615,0.039939239
20/06/2017,2173.27002,2251.52002,2061.050049,2107.699951,2107.699951,4536863,-0.030171156
19/06/2017,2046.01001,2202.620117,2035.910034,2173.27002,2173.27002,6187583,0.062199114
18/06/2017,2006.589966,2072.439941,1976.599976,2046.01001,2046.01001,3806621,0.019645291
17/06/2017,2102.949951,2150.100098,1960.329956,2006.589966,2006.589966,2014988,-0.04582134
16/06/2017,1959.310059,2131.860107,1919.530029,2102.949951,2102.949951,1917128,0.073311466
15/06/2017,1915.170044,2050.340088,1827.579956,1959.310059,1959.310059,4641363,0.02304757
14/06/2017,1943.949951,1977.160034,1659.589966,1915.170044,1915.170044,7281632,-0.01480486
